price,date,bedrooms,bathrooms,sqft,floors,waterfront,yr_built,yr_renovated
6.05E+05,170,4,2.5,2620,2,0,1996,0
6.25E+05,195,4,2.5,2570,2,0,2000,0
7.75E+05,222,4,2.25,4220,1,0,1984,0
861990,187,5,2.75,3595,2,0,2014,0
6.85E+05,300,3,1,1570,2,0,1922,0
3.09E+05,209,3,1,1280,1,0,1959,0
4.88E+05,198,3,2.5,3160,2,0,2003,0
210490,448,3,1,990,1,0,1966,0
7.85E+05,196,4,2.5,2290,2,0,1981,0
4.50E+05,482,3,1.75,1250,1,0,1953,0
1.35E+06,434,3,2.5,2753,1,1,1953,0
2.28E+05,258,3,1,1190,1,0,1955,0
3.45E+05,412,5,2.5,3150,1,0,1966,0
6.00E+05,364,3,1.75,1410,1,0,1950,0
5.85E+05,400,2,1.75,1980,1,0,1981,0
9.20E+05,426,5,2.25,2730,1.5,0,1927,0
8.85E+05,131,4,2.5,2830,2,0,1995,0
292500,230,4,2.5,2250,2,0,2008,0
3.01E+05,461,3,2.5,2420,2,0,2003,0
9.51E+05,238,5,3.25,3250,2,0,1968,0
4.30E+05,418,4,3,1850,2,0,1991,0
6.50E+05,343,3,2.25,2150,1,0,1959,0
2.89E+05,239,3,1.75,1260,1,0,1954,0
5.05E+05,293,3,1.75,2519,2,0,1973,0
5.49E+05,340,3,1.75,1540,3,0,2014,0
4.25E+05,153,3,2.25,1660,1,0,1979,0
317625,323,3,2.75,2770,1.5,0,1925,0
9.75E+05,251,4,2.5,2720,2,0,1989,0
2.87E+05,281,4,2.5,2240,2,0,2005,0
2.04E+05,236,3,1,1000,1,0,1968,0
1.33E+06,162,5,2.25,3200,1,0,1965,0
1.04E+06,254,5,3.25,4770,1,0,1973,0
3.25E+05,369,3,2,1260,1,0,1972,0
5.71E+05,160,4,2,2750,1.5,0,1916,0
3.60E+05,190,4,2.5,2380,2,0,2005,0
3.49E+05,439,3,1.75,1790,1,0,1965,0
832500,308,4,4,3430,2,0,1986,0
3.80E+05,285,4,1.75,1760,1,0,1956,0
4.80E+05,474,3,1,1040,1,0,1941,0
4.10E+05,159,3,1,1410,1,0,1956,0
7.20E+05,446,4,2.5,3450,2,0,2002,0
3.90E+05,335,3,2.5,2350,2,0,2003,0
3.60E+05,355,4,2.5,1900,2,0,1992,0
3.55E+05,300,2,1,2020,1,0,1948,0
3.56E+05,392,3,1.5,1680,1,0,1964,0
3.15E+05,152,3,1,960,1,0,1952,0
9.40E+05,317,3,1.5,2140,2,0,1925,0
3.05E+05,306,5,2.25,2660,1.5,0,1961,0
4.61E+05,168,3,3.25,2770,2,0,2006,0
2.15E+05,138,2,2.25,1610,2,0,1979,0
3.35E+05,246,2,1.75,1030,2,0,2006,0
243500,141,4,2.5,1980,2,0,1988,0
1099880,434,5,2.75,3520,2,0,2001,0
1.53E+05,421,3,1,1200,1,0,1962,0
4.30E+05,205,3,1.5,1580,1,0,1939,0
7.00E+05,356,3,1.5,1580,1,0,1939,0
9.05E+05,250,4,2.5,3300,1,0,1946,1991
247500,453,3,1.75,1960,1,0,1967,0
1.99E+05,254,4,1.5,1160,1,0,1975,0
3.14E+05,191,3,1.75,1810,1,0,1980,0
437500,135,3,2.5,2320,2,0,1992,0
850830,161,3,2.5,2070,1.5,0,1910,0
5.55E+05,299,3,2,1980,1.5,0,1929,0
699950,345,3,2.25,2190,2,0,1983,0
1.09E+06,279,3,2.5,2920,2,0,1950,2010
2.90E+05,266,3,1,1210,1,0,1954,0
3.75E+05,456,3,2.5,2340,1,0,1978,0
4.60E+05,142,3,1,1670,1.5,0,1939,0
188500,203,2,1.75,1240,1,0,1985,0
6.80E+05,428,4,2.5,3140,2,0,1991,0
4.70E+05,238,5,1.75,2030,2,0,1942,0
597750,205,4,2.5,2310,2,0,1984,0
5.70E+05,427,3,1.75,1260,1,0,1905,0
272500,258,3,1.75,1540,1,0,1980,0
329950,327,3,1.75,2080,1,0,1971,0
4.80E+05,300,4,2.5,3230,2,0,2001,0
740500,324,3,3.5,4380,2,0,1900,1999
518500,176,3,3.5,1590,3,0,2010,0
205425,173,2,1,880,1,0,1945,0
171800,372,4,2,1570,1,0,1950,0
5.35E+05,495,4,1,1610,1.5,0,1925,0
6.60E+05,366,3,2.5,2400,1,0,1964,0
391500,322,3,2,1450,1,0,1987,0
3.95E+05,460,2,1,770,1,0,1953,0
4.45E+05,307,4,1.75,2100,1.5,0,1924,0
7.70E+05,168,3,2.25,2910,2,0,1990,0
1.45E+06,425,4,2.75,2750,1.5,0,1914,1992
4.45E+05,197,3,2.25,2100,1,0,1967,0
2.60E+05,197,4,2.25,2160,1,0,1978,0
822500,163,5,3.5,2320,2,0,1926,0
4.30E+05,460,4,2.5,2070,2,0,2004,0
2.12E+05,369,3,1.75,1060,1,0,1986,0
660500,482,4,2.25,2010,1,0,1986,0
7.84E+05,162,3,3.5,3950,1.5,0,1989,0
453246,131,3,2.5,2010,2,0,2014,0
6.75E+05,390,4,3.5,2140,3,0,2005,0
1.99E+05,224,3,1.75,1320,1,0,1956,0
2.20E+05,216,4,1.75,2020,1,0,1968,0
4.52E+05,148,4,2.25,2590,1,0,1968,0
382500,187,2,1,1190,1,0,1981,0
519950,126,3,2.25,1170,3,0,2014,0
6.65E+05,177,2,1,1110,1,0,1925,0
527700,188,5,2.5,2820,1,0,1968,0
2.05E+05,492,3,1,1610,1,0,1962,0
4.20E+05,469,3,1,1060,1,0,1923,0
5.00E+05,422,4,2.25,2030,1,0,1961,0
921500,336,4,2.5,3670,2,0,1994,0
8.90E+05,175,4,1,2550,2,0,1905,0
4.30E+05,217,2,2.5,2420,2,0,2007,0
2.58E+05,302,5,2,2260,1,0,1960,0
5.11E+05,307,3,1,1430,1,0,1947,0
532170,231,3,2,1360,2,0,1990,0
5.60E+05,463,3,1,1110,1.5,0,1947,0
282950,454,3,1,1250,1,0,1954,0
2.25E+06,455,4,3.25,5180,2,0,2006,0
3.50E+05,135,1,1,700,1,0,1942,0
2.15E+05,208,3,1,1180,1,0,1967,0
6.50E+05,323,5,3.5,3960,2,0,1996,0
3.20E+05,218,4,2.75,2640,1,0,1967,0
2.47E+05,316,3,2,1270,1.5,0,1916,2013
3.20E+05,275,4,1.75,1760,1,0,1968,0
2.55E+05,126,5,2.25,2060,1,0,1962,0
4.38E+05,432,3,1.75,1780,1,0,1962,0
9.00E+05,427,3,2.5,3400,2,0,2000,0
4.41E+05,170,3,2.75,1910,1,0,1979,0
4.20E+05,223,3,2,2020,1,0,1975,0
3.70E+05,341,3,1.75,1580,1,0,1976,0
269950,414,2,1.75,1340,1,0,1949,0
807100,447,4,2.5,2680,2,0,1999,0
6.53E+05,155,3,2.5,2680,1,0,1979,0
371500,161,3,2,1370,1,0,1964,0
2.84E+05,439,3,1.75,1560,1,0,1954,0
2.72E+05,366,3,1.75,2160,1,0,1978,0
3.13E+05,121,3,1.5,1340,1.5,0,1955,0
917500,380,4,2.5,3880,2,0,1984,0
6.73E+05,271,4,2.25,2590,2,0,1980,0
4.25E+05,405,3,2.5,1120,2,0,2008,0
399950,189,5,2.75,1970,1,0,1986,0
3.85E+05,149,3,1,1220,1,0,1901,0
269950,320,3,1.5,1950,1,0,1975,0
3.30E+05,371,2,1,1350,1,0,1949,0
2.60E+05,205,3,2.5,1670,2,0,1988,0
4.70E+05,468,4,3,2380,1.5,0,1925,0
5.89E+05,163,4,3,2440,2,0,1961,0
163500,203,2,1.5,1050,2,0,1996,0
8.35E+05,247,4,2.75,3130,2,0,1993,0
1.10E+06,324,5,3,4090,1,0,1986,0
2.69E+05,469,4,1.75,1490,1,0,1969,0
5.60E+05,124,3,2.5,1900,2,0,1987,0
6.15E+05,472,4,1,1330,1.5,0,1901,0
585188,338,3,2.25,2230,1,0,1975,0
3.05E+05,229,3,1.75,1650,1,0,1977,0
166950,308,3,1,1190,1,0,1959,0
7.99E+05,254,3,2.5,2140,1,0,1959,0
4.00E+05,175,3,2.5,2180,1,0,1962,0
2.30E+05,334,3,1,1060,1,0,1948,0
256883,134,3,2.5,1690,2,0,2003,0
4.23E+05,314,4,2,1970,1.5,0,1920,0
4.65E+05,203,3,2.5,2150,2,0,2007,0
4.40E+05,377,3,2.5,1910,2,0,1997,0
3.85E+05,286,3,1.75,1350,1,0,1969,0
2.10E+05,434,3,1,860,1,0,1943,0
2.97E+05,315,3,2.5,1940,2,0,1994,0
4.70E+05,196,3,1,1010,1,0,1952,0
226500,215,3,1.5,1300,1,0,1976,0
274250,426,3,1,910,1,0,1962,0
8.40E+05,215,4,1.75,2480,1,0,1966,0
677900,261,3,2.5,2440,2,0,2010,0
4.25E+05,400,3,1,1010,1,0,1915,0
180250,326,2,0.75,900,1,0,1941,0
4.64E+05,197,6,3,2300,2,0,1920,1994
3.20E+05,476,4,2.25,1550,2,0,1993,0
625504,197,3,2.25,1270,2,0,2014,0
592500,134,4,2.5,2240,1,0,1983,0
4.65E+05,378,3,2.5,2714,2,0,2005,0
4.77E+05,146,4,2.75,1720,2,0,1978,0
2.80E+05,379,2,1,850,1,0,1923,0
1.51E+06,416,5,3,3300,1,0,1957,1991
445838,183,3,2.5,2250,2,0,2000,0
1.07E+06,239,2,2.25,3900,1,0,1947,0
4.67E+05,295,2,1.5,1320,1,0,1947,0
6.86E+05,233,4,2.5,2760,2,0,1999,0
279950,155,3,2,1750,1,0,1961,0
5.27E+05,246,4,2.25,2330,2,0,1987,0
3.25E+05,260,3,2.25,2220,1,0,1966,0
3.28E+05,245,3,2.25,2020,2,0,1994,0
3.90E+05,154,3,2.25,1250,1,0,1942,0
479950,432,2,2,1510,1,0,2005,0
264950,148,4,2.25,1720,1,0,1978,0
2.35E+05,379,3,1,1430,1,0,1961,0
516500,426,3,2.5,1480,2,0,2004,0
6.55E+05,467,2,1.75,1450,2,1,1915,1978
5.00E+05,166,4,2.75,2280,1,0,1960,0
3.15E+05,324,6,2.75,2940,1,0,1978,0
2.13E+05,323,2,1,1000,1,0,1961,0
4.75E+05,244,3,1.5,2480,1.5,0,1947,0
1.03E+06,160,5,4,3760,2,0,1983,0
4.16E+05,463,3,2,2220,1,0,1976,0
4.10E+05,443,4,1,1970,1.5,0,1904,2005
8.00E+05,181,3,3.5,3830,2,0,1993,0
4.72E+05,148,6,2.5,4410,1,0,1965,0
2.25E+05,341,3,1.75,1430,1,0,1968,0
2.10E+05,273,2,1,830,1,0,1940,0
4.55E+05,391,2,1,1430,1.5,0,1925,0
2.25E+05,481,3,1,1300,1,0,1954,0
4.80E+05,237,2,1,1030,1,0,1918,0
3.63E+05,407,3,2.5,2740,2,0,1990,0
2.40E+06,271,4,2.5,3650,1,1,2000,0
1.81E+05,421,2,1.5,720,1,0,1954,0
2.50E+05,437,4,2,2010,1,0,1976,0
4.81E+05,476,3,1.75,1560,1,0,1918,0
2.60E+05,265,3,2,1810,1,0,1978,0
4.55E+05,132,4,2.5,3360,2,0,2001,0
4.15E+05,455,3,2.25,1510,2,0,1991,0
349500,475,3,1,1400,1,0,1953,0
2.45E+05,271,3,2.5,1730,2,0,1987,0
592500,138,2,2,1420,1.5,0,1928,0
3.85E+05,292,4,1.75,2360,1,0,1955,0
3.15E+05,406,3,1.75,1580,1,0,1974,0
2.55E+05,327,3,1,1230,1,0,1979,0
6.93E+05,240,4,2.5,2460,2,0,2006,0
7.80E+05,335,3,1,1660,1.5,0,1911,0
2.37E+05,296,3,1.75,1270,1,0,1960,0
5.25E+05,349,3,2.25,2100,2,0,1979,0
4.25E+05,482,2,1,770,1,0,1930,0
369900,299,1,0.75,760,1,1,1936,0
2.90E+05,138,4,2.5,1700,2,0,1988,0
2.85E+05,271,3,1,1120,1,0,1954,0
4.15E+05,225,2,1,1070,1,0,1937,0
272500,463,3,2.5,2070,1,0,1979,0
2.90E+06,488,4,3.25,5050,1.5,0,1982,2008
1.37E+06,279,4,4.75,5310,2,0,1989,0
4.36E+05,485,2,1,1040,1,0,1939,0
2.10E+05,289,3,1,1700,1,0,1967,0
2.36E+05,267,3,1,1300,1,0,1961,0
3.31E+05,327,3,1.75,1080,1,0,1954,2003
3.65E+05,443,3,2.5,2653,2,0,2006,0
4.50E+05,391,3,2,2290,1,0,1960,0
7.70E+05,316,4,2.75,3820,2,0,2014,0
4.55E+05,489,4,2.5,2210,1,0,1997,0
4.05E+05,489,3,1.75,2390,1,0,1908,0
304900,183,4,1.75,2600,1,0,1969,0
1.70E+05,422,2,1,860,1,0,1931,0
2.05E+06,497,5,3,3830,2,0,1905,1994
7.80E+05,180,4,2.5,3500,2,0,2005,0
3.30E+05,464,3,3,2420,1,0,1988,0
3.70E+05,247,4,2.5,2720,2,0,1992,0
4.67E+05,289,5,2.25,2500,1,0,1979,0
4.05E+05,404,3,1.75,1670,1,0,1980,0
6.75E+05,182,5,2.25,2900,1,0,1985,0
5.00E+05,223,2,1,1640,1,0,1954,0
389999,203,4,2.5,1890,2,0,1968,0
6.30E+05,419,4,1.75,2950,1,0,1975,0
3.60E+05,294,4,2.5,2160,2,0,1992,0
5.80E+05,274,4,3,3280,2,0,1986,0
5.50E+05,189,3,2,1970,2,0,1929,0
8.79E+05,190,4,2.5,3360,2,0,1994,0
2.65E+05,233,3,2,1320,1,0,1993,0
446500,427,3,2.5,2650,2,0,1990,0
4.04E+05,152,3,1.5,2030,1,0,1963,0
267500,148,3,1.75,1590,1,0,1957,0
3.08E+06,174,4,5,4550,1,1,2002,0
3.35E+05,222,3,2.5,2440,2,0,1998,0
5.76E+05,169,3,2.5,1940,1,0,1948,0
208633,455,3,2.5,2040,2,0,2006,0
3.15E+05,379,3,2.25,2200,1,0,1964,0
7.25E+05,412,3,1.75,1920,1,0,1913,0
5.50E+05,457,4,2.75,1800,1,0,1965,0
610750,162,4,2.25,2180,2,0,1984,0
550700,423,2,1,1010,1.5,0,1908,0
6.65E+05,372,4,2.75,3320,2,0,1960,0
8.34E+05,404,4,2.5,2370,1.5,0,1928,0
2.01E+05,295,5,1.75,1660,1.5,0,1915,0
2.38E+06,121,5,2.5,3650,2,0,1921,0
1.38E+06,168,4,3.25,4290,1,0,1997,0
1.40E+06,342,4,3.25,4290,1,0,1997,0
3.05E+05,308,4,2.25,1950,1,0,1979,0
4.87E+05,462,3,2,2590,1,0,1948,0
3.90E+05,495,3,2.5,1930,1,0,1988,0
5.48E+05,203,2,1,1470,1,0,1916,0
268750,325,4,1,800,1,0,1943,0
819900,132,5,2.75,3150,2,0,2013,0
5.20E+05,295,3,2.25,2030,2,0,1984,0
2.30E+05,201,3,2,1450,1,0,2003,0
2.40E+05,397,3,1.75,1510,1,0,1969,0
2.32E+05,247,2,1,1240,1,0,1922,1984
240500,434,2,1,1240,1,0,1922,1984
274975,299,3,2.5,3030,2,0,1987,0
7.40E+05,247,4,2,2050,1.5,0,1922,0
186375,482,3,1,1000,1,0,1952,0
7.90E+05,205,3,2.25,2370,1,0,1977,0
8.80E+05,258,4,3.5,2800,2,0,1951,2002
2.79E+05,470,6,1.75,2240,2,0,1955,0
2.95E+05,209,3,2,1810,1,0,1991,0
6.40E+05,462,2,1,1070,1,0,1924,0
9.40E+05,183,4,2,2490,2,0,1968,0
2.60E+05,279,4,2.5,1960,2,0,2003,0
559900,152,3,2.75,2930,1,0,2004,0
791500,202,4,2,1510,1.5,0,1911,0
2.65E+05,237,3,1.75,1420,1,0,1954,0
2.45E+05,485,3,1.75,1740,1,0,1954,0
4.85E+05,478,4,1.75,2560,2,0,1962,0
6.84E+05,309,4,3.5,3040,2,0,2010,0
4.25E+05,251,3,1.75,2500,1,0,1957,0
309600,289,4,1.75,1275,1,0,1991,0
552250,198,4,2.5,2580,2,0,2002,0
1.65E+05,203,4,1,1000,1,0,1943,0
239900,362,4,1,1000,1,0,1943,0
3.20E+05,338,2,1,1070,1,0,1930,0
206600,293,3,2,1390,1,0,1987,0
3.87E+05,470,4,1.75,2500,1,0,1973,0
2.99E+05,154,1,0.75,560,1,0,1967,0
8.55E+05,264,4,2.75,2270,2,0,1965,0
3.15E+05,390,3,1,1900,1,0,1954,0
437500,336,2,1,990,1,0,1907,0
2.52E+05,447,4,1.5,1550,1,0,1969,0
3.75E+05,154,4,1.75,2200,1,0,1955,0
3.00E+05,217,4,2.5,1910,2,0,2005,0
4.20E+05,278,4,1,1750,1.5,0,1954,0
9.00E+05,124,3,1,1330,1,0,1928,1954
679900,216,3,2.5,2440,2,0,2000,0
4.63E+05,155,3,2.5,1640,2,0,1992,0
3.80E+05,239,5,2.5,2760,2,0,1978,0
329500,343,4,2.5,1820,2,0,1994,0
604950,230,3,2.5,2110,1,0,2013,0
7.95E+05,259,5,2.5,3040,1,0,1966,0
4.65E+05,394,3,2,1840,2,0,1994,0
6.73E+05,449,4,2.5,2990,2,0,2002,0
8.10E+05,273,4,2.5,3520,2,0,1991,0
7.85E+05,477,4,2.75,2440,1,0,1989,0
3.38E+05,323,4,3,2090,1,0,1986,0
2.80E+05,337,3,2.25,1430,2,0,1993,0
3.15E+05,273,4,2.25,2180,1,0,1954,0
5.30E+05,447,4,2.25,2180,1,0,1954,0
3.80E+05,356,5,3,3450,2,0,2004,0
2.97E+05,222,3,2.25,1450,2,0,1994,0
7.30E+05,139,4,2.5,3230,2,0,2004,0
4.50E+05,159,3,1.75,1640,1,0,1940,0
2.75E+05,299,3,3,1590,1,0,1997,0
5.95E+05,483,4,2,2020,2,0,1960,0
4.35E+05,475,3,1.5,1300,1.5,0,1904,2014
2.70E+05,258,2,1.5,1380,1,0,1954,0
9.50E+05,216,3,3,4040,2,0,1986,0
3.89E+05,436,4,2.25,2130,2,0,2001,0
5.60E+05,385,4,2.25,2550,1,0,1968,0
1.35E+06,208,5,3.5,4800,2,0,1998,0
7.99E+05,314,4,2.25,2510,2,0,1969,0
365500,175,3,2,1410,1,0,1983,0
252350,134,3,2,1650,1,0,1979,0
403950,247,4,2.5,2120,2,0,1993,0
3.85E+05,212,4,1.5,2040,1,0,1954,0
3.45E+05,343,4,1,1550,1.5,0,1957,0
4.90E+05,259,3,2.75,1980,2,0,1979,0
3.30E+05,168,3,2.5,1600,2,0,2005,0
9.27E+05,131,4,2.75,3300,2,0,1953,0
1.12E+06,208,4,2.5,3840,2,0,1983,0
3.30E+05,484,2,1,1220,1,0,1950,0
5.30E+05,432,5,2.25,2720,1,0,1958,0
3.65E+05,173,4,2,1940,1,0,1962,0
378750,169,3,2.5,2160,1.5,0,1909,2011
269900,169,4,1.75,1530,1.5,0,1968,0
5.57E+05,429,3,3.5,1710,2,0,2008,0
3.60E+05,236,4,1.75,3730,1,0,1974,0
3.52E+05,476,2,1,940,1,0,1937,0
4.37E+05,419,3,2.5,1750,2,0,1994,0
322500,168,4,2.5,1820,2,0,1994,0
6.50E+05,254,3,3.25,1510,2,0,2001,0
4.50E+05,217,3,2,1290,3,0,2001,0
278500,471,3,2,1570,1,0,1998,0
364950,481,4,2.5,1930,2,0,1995,0
8.40E+05,253,4,3.5,2840,1,0,1986,0
2.68E+05,441,3,2.5,1550,2,0,1991,0
517534,196,2,1,833,1,0,2006,0
632925,307,3,2.5,2990,2,0,1978,0
577500,203,3,2.5,2000,2,0,1995,0
3.39E+05,407,4,1.5,2390,1.5,0,1920,0
5.70E+05,251,3,1.75,2910,1,0,1967,0
563500,176,4,1.75,2085,1,0,1964,0
4.23E+05,369,4,2.25,2200,1,0,1962,0
3.55E+05,356,3,2.25,1860,2,0,2012,0
1.55E+06,190,5,4.25,6070,2,0,1999,0
4.82E+05,336,2,1,950,1,0,1941,0
6.25E+05,210,3,1.75,1600,1,0,1955,0
5.38E+05,352,3,2.5,2250,2,0,1988,0
3.80E+05,371,3,2.5,2280,2,0,1985,0
3.75E+05,197,2,1,940,1,0,1909,0
2.45E+05,457,3,2.5,1530,1,0,1996,0
3.10E+05,317,5,1.75,2190,1,0,1947,1974
1.30E+06,420,3,2,2350,1,0,1976,0
3.97E+05,125,4,2,1440,1,0,1971,0
3.65E+05,496,3,2.5,2200,2,0,2005,0
328500,300,4,3,2290,2,0,1990,0
9.88E+05,250,4,3,4040,2,0,1987,0
1.00E+06,202,4,2.5,2610,1.5,0,1922,0
2.37E+05,245,3,2.5,1490,2,0,2005,0
5.25E+05,261,4,2.5,2450,2,0,2003,0
7.49E+05,258,4,2.5,1710,1,0,1976,2014
722500,232,5,2.5,4870,2,0,1983,0
8.43E+05,435,3,2.5,3130,2,0,1991,0
4.38E+05,188,2,2,1270,3,0,2000,0
5.78E+05,258,3,1.75,2120,1,0,1977,0
227950,265,3,1.5,1670,1,0,1954,0
1.96E+05,202,3,2.25,2070,2,0,1974,0
6.41E+05,195,2,1,1420,1,0,1953,0
3.50E+05,476,3,1.5,1250,1,0,1980,0
2.05E+05,230,3,1,940,1,0,1960,0
4.00E+05,335,3,1.75,1920,1,0,1968,0
1.03E+06,313,3,2.5,3545,1,0,2005,0
5.05E+05,442,3,2,1260,1,0,1972,0
4.75E+05,281,5,2.5,2340,1,0,1975,0
5.20E+05,308,3,2.25,2590,1,0,1977,0
1.45E+06,486,3,4.5,3970,2,0,1977,1999
333500,364,3,1.75,1220,1,0,1965,0
2.32E+05,417,3,1,1400,1,0,1976,0
691100,475,3,2.75,2360,1,0,1983,0
8.11E+05,286,3,1.75,1870,1,0,1960,0
5.51E+05,139,3,2.5,2830,2,0,2001,0
496500,372,3,2.5,2260,2,0,1994,0
7.05E+05,329,3,3,1970,2,1,1980,0
5.78E+05,162,4,2.5,3140,1,0,1966,0
2.55E+05,392,3,1.75,1240,1,0,1986,0
1.05E+06,176,4,3.5,3450,2,0,2007,0
3.48E+05,428,3,2.25,2570,2,0,1989,0
2.30E+05,307,3,2,1510,2,0,1985,0
359500,342,4,2.25,2390,2,0,1988,0
3.30E+05,315,3,1,980,1,0,1953,0
8.00E+04,142,1,0.75,430,1,0,1912,0
4.65E+05,334,3,1.75,1480,1,0,1954,0
3.25E+05,287,4,2.5,1850,2,0,1997,0
340500,371,3,2,2270,1,0,1947,0
342500,370,3,2.5,1810,2,0,1993,0
290900,173,2,2,1610,2,0,1930,1983
868700,408,3,4.25,3840,2,0,2000,0
1.20E+06,316,4,2.75,4110,2,0,1928,2013
1.15E+06,286,4,3.25,4190,2,0,2000,0
859900,222,4,2.75,3390,2,0,2011,0
5.20E+05,219,4,2.25,1890,2,0,2003,0
4.60E+05,191,3,2.5,1610,2,0,2005,0
438924,243,3,1.5,1050,1,0,1949,0
3.15E+05,460,2,1,630,1,0,1918,0
5.90E+05,198,4,2.75,2910,1,0,1975,0
378500,307,4,1.75,1700,1,0,1955,0
328500,153,3,2.5,1950,2,0,1990,0
849950,448,3,3,2990,2,0,1973,0
5.25E+05,299,3,1.5,1350,1,0,1950,0
1.39E+06,464,4,3.25,4860,2.5,0,1993,0
2.95E+05,482,4,2.5,2160,1,0,1978,0
1.07E+06,191,6,3.5,4860,2,0,1998,0
207950,201,2,2,890,1,0,1917,0
699900,349,4,2.75,2810,2,0,2002,0
1.28E+06,405,5,2.5,3400,2,0,1977,0
4.52E+05,323,4,1.5,1580,1,0,1963,0
3.70E+05,400,3,2,1680,1,0,1987,0
2.32E+05,391,3,1.75,1300,1,0,1968,0
669950,302,5,2.5,2820,2,0,1960,0
397500,164,3,2,1510,1,0,1972,0
4.90E+05,131,2,2.5,1230,2,0,2004,0
7.25E+05,392,4,2,2110,2,0,1925,2003
2.99E+05,259,3,2.75,3080,1,0,1958,0
6.25E+05,229,2,1.5,1490,1.5,0,1900,0
437500,309,3,2.5,2120,2,0,2000,0
6.50E+05,494,4,2.5,3180,2,0,2003,0
4.75E+05,138,2,1,1490,1,0,1929,0
3.42E+05,121,3,2,1930,1,0,1966,0
1197350,287,4,2.5,2770,2,0,1999,0
2.80E+05,405,3,1.5,1670,1,0,1963,0
2.40E+05,140,2,1.75,1330,1,0,1993,0
5.29E+05,146,3,1,1210,1.5,0,1924,0
4.42E+05,397,3,1,1190,1,0,1941,0
6.15E+05,127,2,1,1540,1,0,1946,0
1.49E+06,162,4,3.75,4030,2,0,2006,0
5.85E+05,489,4,1.75,2430,1,0,1981,0
4.80E+05,428,4,2.5,2600,2,0,2005,0
1.10E+06,201,5,3.5,4410,2,0,1990,0
2.90E+05,308,4,1,1330,1.5,0,1949,0
6.15E+05,231,3,1.75,1900,1,0,1951,0
3.00E+05,434,2,1,1100,1,0,1950,0
3.08E+05,301,3,1,1980,1.5,0,1932,0
7.50E+05,491,3,2.5,2400,2,0,2001,0
2.25E+06,317,4,2.25,4760,2.5,0,1916,0
8.90E+05,216,4,3.25,3180,2,0,2005,0
2.88E+05,448,3,1,1190,1,0,1958,0
1.90E+05,248,2,1,630,1,0,1943,2005
5.15E+05,449,5,3,2530,1,0,2005,0
2.35E+05,308,4,1.5,1690,1,0,1930,0
2.75E+05,229,2,1,940,1,0,1951,0
727500,324,2,2,1240,1,0,1952,0
6.50E+05,170,4,2.5,3040,2,0,2003,0
1.60E+06,168,6,5,6050,2,0,2001,0
3.65E+05,308,4,1,1590,1.5,0,1944,0
6.62E+05,280,3,1.75,2500,1,0,1984,0
270500,483,3,2.5,1780,1,0,1978,0
2.00E+05,489,2,1.5,1360,2,0,1978,0
9.70E+05,419,4,3.25,4740,2,0,1987,0
1.60E+05,174,3,1.5,1010,1,0,1962,0
2.04E+05,413,3,1,1040,1,0,1971,0
3.58E+05,413,3,2.25,1610,2,0,1985,0
4.52E+05,485,4,1.75,1570,1,0,1979,0
5.95E+05,337,2,2,1510,1,0,1900,0
2.49E+05,464,3,2,1360,1,0,1994,0
346900,433,4,2.5,1970,2,0,1999,0
2.13E+06,413,3,2.5,5403,2,1,1976,0
2.80E+05,302,4,2.5,1560,2,0,2003,0
318888,285,4,1.75,2320,1,0,1973,0
